video_id,sequence,video_frame,sequence_frame,image_id,annotations
0,40258,0,0,0-0,[]
0,40258,1,1,0-1,[]
0,40258,2,2,0-2,[]
0,40258,3,3,0-3,[]
0,40258,4,4,0-4,[]
0,40258,5,5,0-5,[]
0,40258,6,6,0-6,[]
0,40258,7,7,0-7,[]
0,40258,8,8,0-8,[]
0,40258,9,9,0-9,[]
0,40258,10,10,0-10,[]
0,40258,11,11,0-11,[]
0,40258,12,12,0-12,[]
0,40258,13,13,0-13,[]
0,40258,14,14,0-14,[]
0,40258,15,15,0-15,[]
0,40258,16,16,0-16,"[{'x': 559, 'y': 213, 'width': 50, 'height': 32}]"
0,40258,17,17,0-17,"[{'x': 558, 'y': 213, 'width': 50, 'height': 32}]"
0,40258,18,18,0-18,"[{'x': 557, 'y': 213, 'width': 50, 'height': 32}]"
0,40258,19,19,0-19,"[{'x': 556, 'y': 214, 'width': 50, 'height': 32}]"
0,40258,20,20,0-20,"[{'x': 555, 'y': 214, 'width': 50, 'height': 32}]"
0,40258,21,21,0-21,"[{'x': 550, 'y': 214, 'width': 50, 'height': 32}]"
0,40258,22,22,0-22,"[{'x': 538, 'y': 209, 'width': 56, 'height': 47}]"
0,40258,23,23,0-23,"[{'x': 535, 'y': 207, 'width': 58, 'height': 48}]"
0,40258,24,24,0-24,"[{'x': 532, 'y': 205, 'width': 59, 'height': 49}]"
0,40258,25,25,0-25,"[{'x': 529, 'y': 200, 'width': 61, 'height': 50}]"
0,40258,26,26,0-26,"[{'x': 525, 'y': 196, 'width': 63, 'height': 51}]"
0,40258,27,27,0-27,"[{'x': 522, 'y': 191, 'width': 64, 'height': 52}]"
0,40258,28,28,0-28,"[{'x': 519, 'y': 187, 'width': 66, 'height': 52}]"
0,40258,29,29,0-29,"[{'x': 519, 'y': 181, 'width': 68, 'height': 53}]"
0,40258,30,30,0-30,"[{'x': 518, 'y': 176, 'width': 69, 'height': 54}]"
0,40258,31,31,0-31,"[{'x': 518, 'y': 171, 'width': 71, 'height': 55}]"
0,40258,32,32,0-32,"[{'x': 518, 'y': 165, 'width': 73, 'height': 56}]"
0,40258,33,33,0-33,"[{'x': 519, 'y': 160, 'width': 74, 'height': 58}]"
0,40258,34,34,0-34,"[{'x': 519, 'y': 155, 'width': 76, 'height': 60}]"
0,40258,35,35,0-35,"[{'x': 520, 'y': 151, 'width': 78, 'height': 62}, {'x': 598, 'y': 204, 'width': 58, 'height': 32}]"
0,40258,36,36,0-36,"[{'x': 520, 'y': 148, 'width': 80, 'height': 63}, {'x': 598, 'y': 206, 'width': 61, 'height': 34}]"
0,40258,37,37,0-37,"[{'x': 521, 'y': 144, 'width': 82, 'height': 65}, {'x': 599, 'y': 208, 'width': 64, 'height': 36}]"
0,40258,38,38,0-38,"[{'x': 522, 'y': 141, 'width': 83, 'height': 67}, {'x': 599, 'y': 209, 'width': 66, 'height': 38}]"
0,40258,39,39,0-39,"[{'x': 521, 'y': 139, 'width': 85, 'height': 69}, {'x': 599, 'y': 211, 'width': 69, 'height': 40}]"
0,40258,40,40,0-40,"[{'x': 521, 'y': 138, 'width': 87, 'height': 71}, {'x': 599, 'y': 213, 'width': 72, 'height': 42}]"
0,40258,41,41,0-41,"[{'x': 521, 'y': 138, 'width': 89, 'height': 73}, {'x': 602, 'y': 219, 'width': 72, 'height': 42}]"
0,40258,42,42,0-42,"[{'x': 521, 'y': 139, 'width': 91, 'height': 74}, {'x': 604, 'y': 226, 'width': 72, 'height': 42}]"
0,40258,43,43,0-43,"[{'x': 523, 'y': 134, 'width': 92, 'height': 77}, {'x': 607, 'y': 232, 'width': 72, 'height': 42}]"
0,40258,44,44,0-44,"[{'x': 524, 'y': 139, 'width': 94, 'height': 80}, {'x': 609, 'y': 238, 'width': 72, 'height': 42}]"
0,40258,45,45,0-45,"[{'x': 525, 'y': 145, 'width': 96, 'height': 83}, {'x': 613, 'y': 253, 'width': 72, 'height': 43}]"
0,40258,46,46,0-46,"[{'x': 527, 'y': 150, 'width': 98, 'height': 86}, {'x': 616, 'y': 267, 'width': 72, 'height': 44}]"
0,40258,47,47,0-47,"[{'x': 530, 'y': 162, 'width': 100, 'height': 89}, {'x': 620, 'y': 282, 'width': 72, 'height': 44}]"
0,40258,48,48,0-48,"[{'x': 534, 'y': 174, 'width': 101, 'height': 92}, {'x': 618, 'y': 304, 'width': 95, 'height': 56}]"
0,40258,49,49,0-49,"[{'x': 537, 'y': 186, 'width': 103, 'height': 95}, {'x': 624, 'y': 324, 'width': 95, 'height': 56}]"
0,40258,50,50,0-50,"[{'x': 539, 'y': 205, 'width': 105, 'height': 98}, {'x': 630, 'y': 351, 'width': 95, 'height': 56}]"
0,40258,51,51,0-51,"[{'x': 541, 'y': 224, 'width': 107, 'height': 101}, {'x': 636, 'y': 377, 'width': 95, 'height': 56}]"
0,40258,52,52,0-52,"[{'x': 543, 'y': 244, 'width': 109, 'height': 104}, {'x': 642, 'y': 403, 'width': 95, 'height': 56}]"
0,40258,53,53,0-53,"[{'x': 540, 'y': 258, 'width': 110, 'height': 104}, {'x': 649, 'y': 431, 'width': 95, 'height': 56}]"
0,40258,54,54,0-54,"[{'x': 540, 'y': 284, 'width': 112, 'height': 105}, {'x': 653, 'y': 466, 'width': 95, 'height': 56}]"
0,40258,55,55,0-55,"[{'x': 540, 'y': 310, 'width': 113, 'height': 105}, {'x': 657, 'y': 501, 'width': 95, 'height': 56}]"
0,40258,56,56,0-56,"[{'x': 540, 'y': 336, 'width': 115, 'height': 105}, {'x': 659, 'y': 534, 'width': 98, 'height': 67}]"
0,40258,57,57,0-57,"[{'x': 539, 'y': 362, 'width': 116, 'height': 106}, {'x': 662, 'y': 566, 'width': 101, 'height': 78}]"
0,40258,58,58,0-58,"[{'x': 539, 'y': 388, 'width': 118, 'height': 106}, {'x': 666, 'y': 607, 'width': 101, 'height': 78}]"
0,40258,59,59,0-59,"[{'x': 539, 'y': 414, 'width': 119, 'height': 106}, {'x': 671, 'y': 652, 'width': 101, 'height': 67}]"
0,40258,60,60,0-60,"[{'x': 535, 'y': 444, 'width': 127, 'height': 113}]"
0,40258,61,61,0-61,"[{'x': 532, 'y': 474, 'width': 134, 'height': 119}]"
0,40258,62,62,0-62,"[{'x': 528, 'y': 505, 'width': 141, 'height': 126}]"
0,40258,63,63,0-63,"[{'x': 525, 'y': 538, 'width': 141, 'height': 126}]"
0,40258,64,64,0-64,"[{'x': 458, 'y': 16, 'width': 57, 'height': 57}, {'x': 522, 'y': 572, 'width': 141, 'height': 126}]"
0,40258,65,65,0-65,"[{'x': 455, 'y': 35, 'width': 57, 'height': 57}, {'x': 510, 'y': 615, 'width': 141, 'height': 104}]"
0,40258,66,66,0-66,"[{'x': 451, 'y': 53, 'width': 57, 'height': 57}, {'x': 504, 'y': 659, 'width': 141, 'height': 60}]"
0,40258,67,67,0-67,"[{'x': 448, 'y': 72, 'width': 57, 'height': 57}]"
0,40258,68,68,0-68,"[{'x': 445, 'y': 90, 'width': 57, 'height': 57}]"
0,40258,69,69,0-69,"[{'x': 442, 'y': 109, 'width': 57, 'height': 57}]"
0,40258,70,70,0-70,"[{'x': 439, 'y': 127, 'width': 57, 'height': 57}]"
0,40258,71,71,0-71,"[{'x': 435, 'y': 145, 'width': 57, 'height': 57}]"
0,40258,72,72,0-72,"[{'x': 432, 'y': 164, 'width': 57, 'height': 57}]"
0,40258,73,73,0-73,"[{'x': 429, 'y': 182, 'width': 57, 'height': 57}]"
0,40258,74,74,0-74,"[{'x': 426, 'y': 201, 'width': 57, 'height': 57}]"
0,40258,75,75,0-75,"[{'x': 421, 'y': 217, 'width': 59, 'height': 58}]"
0,40258,76,76,0-76,"[{'x': 416, 'y': 234, 'width': 61, 'height': 59}]"
0,40258,77,77,0-77,"[{'x': 411, 'y': 250, 'width': 62, 'height': 60}]"
0,40258,78,78,0-78,"[{'x': 406, 'y': 267, 'width': 64, 'height': 62}]"
0,40258,79,79,0-79,"[{'x': 401, 'y': 283, 'width': 66, 'height': 63}]"
0,40258,80,80,0-80,"[{'x': 395, 'y': 300, 'width': 68, 'height': 64}]"
0,40258,81,81,0-81,"[{'x': 390, 'y': 316, 'width': 70, 'height': 65}]"
0,40258,82,82,0-82,"[{'x': 385, 'y': 333, 'width': 71, 'height': 66}]"
0,40258,83,83,0-83,"[{'x': 380, 'y': 349, 'width': 73, 'height': 68}]"
0,40258,84,84,0-84,"[{'x': 375, 'y': 366, 'width': 75, 'height': 69}]"
0,40258,85,85,0-85,"[{'x': 369, 'y': 381, 'width': 77, 'height': 70}]"
0,40258,86,86,0-86,"[{'x': 363, 'y': 397, 'width': 79, 'height': 71}]"
0,40258,87,87,0-87,"[{'x': 357, 'y': 413, 'width': 81, 'height': 72}]"
0,40258,88,88,0-88,"[{'x': 351, 'y': 429, 'width': 83, 'height': 73}]"
0,40258,89,89,0-89,"[{'x': 345, 'y': 444, 'width': 85, 'height': 74}]"
0,40258,90,90,0-90,"[{'x': 339, 'y': 460, 'width': 86, 'height': 75}]"
0,40258,91,91,0-91,"[{'x': 333, 'y': 476, 'width': 88, 'height': 76}]"
0,40258,92,92,0-92,"[{'x': 328, 'y': 492, 'width': 90, 'height': 77}]"
0,40258,93,93,0-93,"[{'x': 322, 'y': 507, 'width': 92, 'height': 78}]"
0,40258,94,94,0-94,"[{'x': 316, 'y': 523, 'width': 94, 'height': 79}]"
0,40258,95,95,0-95,"[{'x': 308, 'y': 540, 'width': 100, 'height': 81}]"
0,40258,96,96,0-96,"[{'x': 301, 'y': 556, 'width': 105, 'height': 83}]"
0,40258,97,97,0-97,"[{'x': 294, 'y': 572, 'width': 111, 'height': 86}]"
0,40258,98,98,0-98,"[{'x': 287, 'y': 589, 'width': 116, 'height': 88}]"
0,40258,99,99,0-99,"[{'x': 282, 'y': 606, 'width': 116, 'height': 88}]"
0,40258,100,100,0-100,"[{'x': 276, 'y': 631, 'width': 116, 'height': 88}]"
0,40258,101,101,0-101,"[{'x': 266, 'y': 659, 'width': 116, 'height': 60}, {'x': 640, 'y': 52, 'width': 22, 'height': 20}]"
0,40258,102,102,0-102,"[{'x': 263, 'y': 680, 'width': 116, 'height': 39}, {'x': 640, 'y': 50, 'width': 22, 'height': 20}]"
0,40258,103,103,0-103,"[{'x': 642, 'y': 49, 'width': 20, 'height': 21}]"
0,40258,104,104,0-104,"[{'x': 642, 'y': 46, 'width': 22, 'height': 22}]"
0,40258,105,105,0-105,"[{'x': 642, 'y': 43, 'width': 20, 'height': 22}]"
